SITE_ID,first,last,n_rows,n_train,n_val,n_test
CAN407,1995-01,2025-05,246689,192535,17126,36958
CON186,2003-06,2011-01,62570,62562,0,0
DEV412,1995-01,2025-05,153887,102973,14059,36816
JOT403,1995-02,2025-05,244399,191582,17335,35412
LAV410,1995-07,2025-05,242746,191494,16504,34678
LPO010,2023-01,2025-05,12496,0,0,12488
PIN414,1995-05,2025-05,250345,196587,17245,36443
SEK402,1997-02,2004-12,54390,54382,0,0
SEK430,2005-03,2025-05,165301,111409,17240,36582
SND152,1990-01,2024-12,274143,226655,15800,31622
YOS204,2012-04,2013-04,8631,8623,0,0
YOS404,1995-10,2025-05,245008,190704,17170,37064
